What is your university name ?,What is your current level of education?,How often do you use AI tools like ChatGPT  for academic purposes?,How do you think ChatGPT has influenced teaching methods in your courses?,Has ChatGPT influenced your approach to solving complex academic problems or  assignments  ? ,Do you use ChatGPT for group study or collaborative learning ?,Do you feel that AI assists you in self-paced learning ?, Does ChatGPT help improve critical thinking and problem-solving?,"Has ChatGPT provided useful guidance on your career path or educational choices ?",How worried are you about the privacy and safety of your personal data when using AI tools like ChatGPT for academic tasks?,Do you think relying too much on AI tools like ChatGPT could harm students creativity and critical thinking skills?,Do you believe using AI tools like ChatGPT reduces your creativity and critical thinking?,Do you believe AI tools (like ChatGPT) improve your learning experience?
Jahangirnagar University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
NSU,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Not Sure,worried,Disagree,Sometimes,Yes
Gono Bishwabidyalay ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Gono bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Maybe
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Yes
Gono Bishwabidyalay,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Yes,"Somewhat worried, Not worried",Agree,Yes,Yes
Ratul Hasan ,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Gono,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Not Sure,Not Sure,Yes,worried,Disagree,Sometimes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Never,I am not sure how it affects teaching methods,Not Sure,No,No,No,No,worried,Strongly agree,No,No
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Monthly,I am not sure how it affects teaching methods,Yes,No,Yes,Yes,Yes,"worried, Not worried",Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Maybe
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Monthly,I am not sure how it affects teaching methods,Yes,No,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Maybe
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Neutral,Sometimes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Yes,Yes
Munjerin Khan Mithi,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neutral,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Daily,It has had no impact on teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Maybe
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Monthly,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Yes,Not worried,Disagree,Sometimes,Maybe
Gono Bishwabidyalay,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Sometimes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Maybe
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Neutral,Sometimes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Maybe
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Not Sure,Yes,Somewhat worried,Strongly agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Not Sure,No,worried,Neutral,Sometimes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Disagree,Sometimes,Yes
Gono Bishwabidyalay,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Gono Bishwabidyalay,Undergraduate,Weekly,I am not sure how it affects teaching methods,Not Sure,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil International University ,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil international University ,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Disagree,Sometimes,Yes
Daffodil international University,Postgraduate,Daily,It has improved teaching methods significantly,Not Sure,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Disagree,Sometimes,Yes
Daffodil international University,Postgraduate,Daily,I am not sure how it affects teaching methods,Yes,No,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Neutral,Yes,Yes
Daffodil international University,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil international university,Postgraduate,Monthly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Maybe
DIU,Postgraduate,Weekly,I am not sure how it affects teaching methods,Yes,No,Yes,Yes,Yes,Somewhat worried,Neutral,Sometimes,Yes
Daffodil University ,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Maybe
Daffodil international University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Maybe
DIU,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Not Sure,Yes,worried,Disagree,Sometimes,Maybe
Daffodil international University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Neutral,Yes,Yes
Daffodil international University,Postgraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Daffodil international University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Daffodil international University,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Sometimes,Yes
Daffodil international University ,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Daffodil international University,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
